Predictor,fp_1,fp_2,int_1,int_2,mm_1,mm_2
STATIC,12.128,42.350,44.136,5.508,50.353,37.045
GSHARE,0.841,1.674,13.850,0.431,6.740,10.126
TOURNAMENT,0.986,3.242,12.617,0.429,2.590,8.474
CUSTOM,1.427,19.609,13.735,0.648,9.461,9.464
